iter	Logloss
0	0.6576184807
1	0.6306465904
2	0.6082367936
3	0.5901737095
4	0.5750150578
5	0.5625405068
6	0.5529254165
7	0.5448810901
8	0.5382038319
9	0.5321237101
10	0.5275494398
11	0.5235834922
12	0.5201925924
13	0.517368649
14	0.5145227557
15	0.5120933125
16	0.5102747824
17	0.507941328
18	0.5065476398
19	0.5052453809
20	0.5035591136
21	0.5026957734
22	0.5013165382
23	0.4999923629
24	0.4993249808
25	0.4983832541
26	0.4974675958
27	0.4967147706
28	0.4960965577
29	0.495440733
30	0.494728188
31	0.4941277814
32	0.4933786361
33	0.492899737
34	0.4924394408
35	0.4919964071
36	0.4915253507
37	0.4912238941
38	0.4908648368
39	0.4904315973
40	0.4902149338
41	0.4897614455
42	0.4894200835
43	0.4889936125
44	0.4885277682
45	0.4882098594
46	0.4878831564
47	0.4873947984
48	0.487072353
49	0.4867919158
50	0.4864802643
51	0.4863224875
52	0.4860215241
53	0.4858156261
54	0.4854458858
55	0.4852482818
56	0.4850213269
57	0.484739216
58	0.4845407616
59	0.484327735
60	0.4840436402
61	0.4839068257
62	0.4836730454
63	0.4832815714
64	0.4831152545
65	0.4829233552
66	0.4827420872
67	0.4825252455
68	0.4823411659
69	0.4822213966
70	0.4820489417
71	0.4818403915
72	0.4816631085
73	0.4814265933
74	0.4811419766
75	0.4809352966
76	0.4808009566
77	0.4807134966
78	0.4804894498
79	0.4803147485
80	0.4801849532
81	0.4800324201
82	0.4798890074
83	0.4796381993
84	0.4794573676
85	0.4793441866
86	0.4792145256
87	0.4791084111
88	0.4789765003
89	0.4788579945
90	0.4787519477
91	0.4786119104
92	0.4785385289
93	0.478366357
94	0.4782576094
95	0.4781232526
96	0.4779610289
97	0.4778417394
98	0.477716885
99	0.4776901092
100	0.4776285829
101	0.4774990397
102	0.4774373895
103	0.4773729492
104	0.4771691645
105	0.4770673602
106	0.4769690224
107	0.4768248146
108	0.4767036673
109	0.476576044
110	0.4765166365
111	0.4763994715
112	0.4762071453
113	0.4761557508
114	0.4760140253
115	0.4759239045
116	0.4758576458
117	0.4757443741
118	0.4756286516
119	0.4755443729
120	0.4754579634
121	0.4753986174
122	0.4753118011
123	0.4751888445
124	0.4750831633
125	0.4749620512
126	0.4748900645
127	0.47479709
